Year,County,PSI,PSIDescription,Count,Population,ObsRate
2008,Placer,24,Postoperative Wound Dehiscence,3,254728,1.18
2009,Placer,24,Postoperative Wound Dehiscence,3,260230,1.15
2010,Placer,24,Postoperative Wound Dehiscence,5,265780,1.88
2011,Placer,24,Postoperative Wound Dehiscence,0,272624,0
2012,Placer,24,Postoperative Wound Dehiscence,1,269220,0.37
2013,Placer,24,Postoperative Wound Dehiscence,2,275142,0.73
2014,Placer,24,Postoperative Wound Dehiscence,2,291385,0.69
2015,Placer,24,Postoperative Wound Dehiscence,0,211518,0
2005,Plumas,24,Postoperative Wound Dehiscence,0,16762,0
2006,Plumas,24,Postoperative Wound Dehiscence,0,16591,0
2007,Plumas,24,Postoperative Wound Dehiscence,0,16601,0
2008,Plumas,24,Postoperative Wound Dehiscence,1,16521,6.05
2009,Plumas,24,Postoperative Wound Dehiscence,0,16384,0
2010,Plumas,24,Postoperative Wound Dehiscence,0,16311,0
2011,Plumas,24,Postoperative Wound Dehiscence,0,16239,0
2012,Plumas,24,Postoperative Wound Dehiscence,2,17560,11.39
2013,Plumas,24,Postoperative Wound Dehiscence,0,17229,0
2014,Plumas,24,Postoperative Wound Dehiscence,0,16981,0
2015,Plumas,24,Postoperative Wound Dehiscence,0,13235,0
2005,Riverside,24,Postoperative Wound Dehiscence,29,1365225,2.12
2006,Riverside,24,Postoperative Wound Dehiscence,31,1423074,2.18
2007,Riverside,24,Postoperative Wound Dehiscence,31,1468741,2.11
2008,Riverside,24,Postoperative Wound Dehiscence,40,1497677,2.67
2009,Riverside,24,Postoperative Wound Dehiscence,22,1532584,1.44
2010,Riverside,24,Postoperative Wound Dehiscence,28,1579716,1.77
2011,Riverside,24,Postoperative Wound Dehiscence,29,1618245,1.79
2012,Riverside,24,Postoperative Wound Dehiscence,18,1578971,1.14
2013,Riverside,24,Postoperative Wound Dehiscence,24,1608253,1.49
2014,Riverside,24,Postoperative Wound Dehiscence,27,1723126,1.57
2015,Riverside,24,Postoperative Wound Dehiscence,26,1235866,2.1
2005,Sacramento,24,Postoperative Wound Dehiscence,11,1001691,1.1
2006,Sacramento,24,Postoperative Wound Dehiscence,12,1010429,1.19
2007,Sacramento,24,Postoperative Wound Dehiscence,13,1020852,1.27
2008,Sacramento,24,Postoperative Wound Dehiscence,17,1032542,1.65
2009,Sacramento,24,Postoperative Wound Dehiscence,8,1046094,0.76
2010,Sacramento,24,Postoperative Wound Dehiscence,14,1058518,1.32
2011,Sacramento,24,Postoperative Wound Dehiscence,10,1075584,0.93
2012,Sacramento,24,Postoperative Wound Dehiscence,8,1052498,0.76
2013,Sacramento,24,Postoperative Wound Dehiscence,8,1066996,0.75
2014,Sacramento,24,Postoperative Wound Dehiscence,7,1102714,0.63
2015,Sacramento,24,Postoperative Wound Dehiscence,7,812828,0.86
2005,San Benito,24,Postoperative Wound Dehiscence,0,38212,0
2006,San Benito,24,Postoperative Wound Dehiscence,1,37946,2.64
2007,San Benito,24,Postoperative Wound Dehiscence,2,37962,5.27
2008,San Benito,24,Postoperative Wound Dehiscence,0,38262,0
2009,San Benito,24,Postoperative Wound Dehiscence,1,38665,2.59
2010,San Benito,24,Postoperative Wound Dehiscence,1,39605,2.52
2011,San Benito,24,Postoperative Wound Dehiscence,1,40265,2.48
2012,San Benito,24,Postoperative Wound Dehiscence,0,41402,0
2013,San Benito,24,Postoperative Wound Dehiscence,0,42194,0
2014,San Benito,24,Postoperative Wound Dehiscence,1,41257,2.42
2015,San Benito,24,Postoperative Wound Dehiscence,0,33017,0
2005,San Bernardino,24,Postoperative Wound Dehiscence,35,1347408,2.6
2006,San Bernardino,24,Postoperative Wound Dehiscence,24,1373516,1.75
2007,San Bernardino,24,Postoperative Wound Dehiscence,22,1390849,1.58
2008,San Bernardino,24,Postoperative Wound Dehiscence,27,1405191,1.92
2009,San Bernardino,24,Postoperative Wound Dehiscence,21,1420975,1.48
2010,San Bernardino,24,Postoperative Wound Dehiscence,22,1447189,1.52
2011,San Bernardino,24,Postoperative Wound Dehiscence,21,1474036,1.42
2012,San Bernardino,24,Postoperative Wound Dehiscence,16,1428592,1.12
2013,San Bernardino,24,Postoperative Wound Dehiscence,21,1446673,1.45
2014,San Bernardino,24,Postoperative Wound Dehiscence,26,1521005,1.71
2015,San Bernardino,24,Postoperative Wound Dehiscence,17,1099744,1.55
2005,San Diego,24,Postoperative Wound Dehiscence,32,2214544,1.44
2006,San Diego,24,Postoperative Wound Dehiscence,42,2229606,1.88
2007,San Diego,24,Postoperative Wound Dehiscence,33,2257236,1.46
2008,San Diego,24,Postoperative Wound Dehiscence,21,2296616,0.91
2009,San Diego,24,Postoperative Wound Dehiscence,26,2332413,1.11
2010,San Diego,24,Postoperative Wound Dehiscence,31,2372232,1.31
2011,San Diego,24,Postoperative Wound Dehiscence,32,2407960,1.33
2012,San Diego,24,Postoperative Wound Dehiscence,27,2359002,1.14
2013,San Diego,24,Postoperative Wound Dehiscence,28,2394181,1.17
2014,San Diego,24,Postoperative Wound Dehiscence,23,2438827,0.94
2015,San Diego,24,Postoperative Wound Dehiscence,23,1829497,1.26
2005,San Francisco,24,Postoperative Wound Dehiscence,11,655221,1.68
2006,San Francisco,24,Postoperative Wound Dehiscence,8,661295,1.21
2007,San Francisco,24,Postoperative Wound Dehiscence,5,670554,0.75
2008,San Francisco,24,Postoperative Wound Dehiscence,8,682007,1.17
2009,San Francisco,24,Postoperative Wound Dehiscence,5,691485,0.72
2010,San Francisco,24,Postoperative Wound Dehiscence,6,694816,0.86
2011,San Francisco,24,Postoperative Wound Dehiscence,2,701321,0.29
2012,San Francisco,24,Postoperative Wound Dehiscence,3,704143,0.43
2013,San Francisco,24,Postoperative Wound Dehiscence,4,712976,0.56
2014,San Francisco,24,Postoperative Wound Dehiscence,1,709035,0.14
2015,San Francisco,24,Postoperative Wound Dehiscence,3,548383,0.55
2005,San Joaquin,24,Postoperative Wound Dehiscence,7,458859,1.53
2006,San Joaquin,24,Postoperative Wound Dehiscence,7,463522,1.51
2007,San Joaquin,24,Postoperative Wound Dehiscence,8,468057,1.71
2008,San Joaquin,24,Postoperative Wound Dehiscence,11,471774,2.33
2009,San Joaquin,24,Postoperative Wound Dehiscence,11,478055,2.3
2010,San Joaquin,24,Postoperative Wound Dehiscence,8,486701,1.64
2011,San Joaquin,24,Postoperative Wound Dehiscence,4,495680,0.81
2012,San Joaquin,24,Postoperative Wound Dehiscence,2,482094,0.41
2013,San Joaquin,24,Postoperative Wound Dehiscence,6,486694,1.23
2014,San Joaquin,24,Postoperative Wound Dehiscence,2,510294,0.39
2015,San Joaquin,24,Postoperative Wound Dehiscence,2,370942,0.54
2005,San Luis Obispo,24,Postoperative Wound Dehiscence,3,203693,1.47
2006,San Luis Obispo,24,Postoperative Wound Dehiscence,2,205958,0.97
2007,San Luis Obispo,24,Postoperative Wound Dehiscence,4,208250,1.92
2008,San Luis Obispo,24,Postoperative Wound Dehiscence,2,211458,0.95
2009,San Luis Obispo,24,Postoperative Wound Dehiscence,2,213363,0.94
2010,San Luis Obispo,24,Postoperative Wound Dehiscence,2,215558,0.93
2011,San Luis Obispo,24,Postoperative Wound Dehiscence,3,216909,1.38
2012,San Luis Obispo,24,Postoperative Wound Dehiscence,1,212867,0.47
2013,San Luis Obispo,24,Postoperative Wound Dehiscence,2,214971,0.93
2014,San Luis Obispo,24,Postoperative Wound Dehiscence,3,220837,1.36
2015,San Luis Obispo,24,Postoperative Wound Dehiscence,2,162048,1.23
2005,San Mateo,24,Postoperative Wound Dehiscence,7,535835,1.31
2006,San Mateo,24,Postoperative Wound Dehiscence,3,536688,0.56
2007,San Mateo,24,Postoperative Wound Dehiscence,13,540450,2.41
2008,San Mateo,24,Postoperative Wound Dehiscence,9,548332,1.64
2009,San Mateo,24,Postoperative Wound Dehiscence,12,556343,2.16
2010,San Mateo,24,Postoperative Wound Dehiscence,3,561671,0.53
2011,San Mateo,24,Postoperative Wound Dehiscence,1,567914,0.18
2012,San Mateo,24,Postoperative Wound Dehiscence,3,563760,0.53
2013,San Mateo,24,Postoperative Wound Dehiscence,4,572187,0.7
2014,San Mateo,24,Postoperative Wound Dehiscence,3,567038,0.53
2015,San Mateo,24,Postoperative Wound Dehiscence,4,438734,0.91
2005,Santa Barbara,24,Postoperative Wound Dehiscence,4,306606,1.3
2006,Santa Barbara,24,Postoperative Wound Dehiscence,6,307420,1.95
2007,Santa Barbara,24,Postoperative Wound Dehiscence,5,310281,1.61
2008,Santa Barbara,24,Postoperative Wound Dehiscence,10,314006,3.18
2009,Santa Barbara,24,Postoperative Wound Dehiscence,6,317734,1.89
2010,Santa Barbara,24,Postoperative Wound Dehiscence,3,321346,0.93
2011,Santa Barbara,24,Postoperative Wound Dehiscence,10,323344,3.09
2012,Santa Barbara,24,Postoperative Wound Dehiscence,6,314909,1.91
2013,Santa Barbara,24,Postoperative Wound Dehiscence,6,319459,1.88
2014,Santa Barbara,24,Postoperative Wound Dehiscence,4,324453,1.23
2015,Santa Barbara,24,Postoperative Wound Dehiscence,3,241070,1.24
2005,Santa Clara,24,Postoperative Wound Dehiscence,17,1267009,1.34
2006,Santa Clara,24,Postoperative Wound Dehiscence,18,1280352,1.41
2007,Santa Clara,24,Postoperative Wound Dehiscence,19,1297418,1.46
2008,Santa Clara,24,Postoperative Wound Dehiscence,21,1319407,1.59
2009,Santa Clara,24,Postoperative Wound Dehiscence,20,1339490,1.49
2010,Santa Clara,24,Postoperative Wound Dehiscence,27,1357407,1.99
2011,Santa Clara,24,Postoperative Wound Dehiscence,18,1377352,1.31
2012,Santa Clara,24,Postoperative Wound Dehiscence,12,1358776,0.88
2013,Santa Clara,24,Postoperative Wound Dehiscence,14,1383328,1.01
2014,Santa Clara,24,Postoperative Wound Dehiscence,15,1385342,1.08
2015,Santa Clara,24,Postoperative Wound Dehiscence,8,1063381,0.75
2005,Santa Cruz,24,Postoperative Wound Dehiscence,3,193146,1.55
2006,Santa Cruz,24,Postoperative Wound Dehiscence,1,193902,0.52
2007,Santa Cruz,24,Postoperative Wound Dehiscence,1,195548,0.51
2008,Santa Cruz,24,Postoperative Wound Dehiscence,3,198374,1.51
2009,Santa Cruz,24,Postoperative Wound Dehiscence,5,201450,2.48
2010,Santa Cruz,24,Postoperative Wound Dehiscence,1,204227,0.49
2011,Santa Cruz,24,Postoperative Wound Dehiscence,1,205429,0.49
2012,Santa Cruz,24,Postoperative Wound Dehiscence,4,200670,1.99
2013,Santa Cruz,24,Postoperative Wound Dehiscence,3,203323,1.48
2014,Santa Cruz,24,Postoperative Wound Dehiscence,3,204815,1.46
2015,Santa Cruz,24,Postoperative Wound Dehiscence,0,153534,0
2005,Shasta,24,Postoperative Wound Dehiscence,4,133597,2.99
2006,Shasta,24,Postoperative Wound Dehiscence,3,134702,2.23
2007,Shasta,24,Postoperative Wound Dehiscence,5,135409,3.69
2008,Shasta,24,Postoperative Wound Dehiscence,3,136355,2.2
2009,Shasta,24,Postoperative Wound Dehiscence,2,137066,1.46
2010,Shasta,24,Postoperative Wound Dehiscence,0,137755,0
2011,Shasta,24,Postoperative Wound Dehiscence,3,138865,2.16
2012,Shasta,24,Postoperative Wound Dehiscence,1,137373,0.73
2013,Shasta,24,Postoperative Wound Dehiscence,6,138135,4.34
2014,Shasta,24,Postoperative Wound Dehiscence,4,142262,2.81
2015,Shasta,24,Postoperative Wound Dehiscence,3,104057,2.88
2005,Sierra,24,Postoperative Wound Dehiscence,0,2724,0
2006,Sierra,24,Postoperative Wound Dehiscence,0,2774,0
2007,Sierra,24,Postoperative Wound Dehiscence,0,2756,0
2008,Sierra,24,Postoperative Wound Dehiscence,0,2742,0
2009,Sierra,24,Postoperative Wound Dehiscence,0,2687,0
2010,Sierra,24,Postoperative Wound Dehiscence,0,2692,0
2011,Sierra,24,Postoperative Wound Dehiscence,0,2613,0
2012,Sierra,24,Postoperative Wound Dehiscence,0,4609,0
2013,Sierra,24,Postoperative Wound Dehiscence,0,4566,0
2014,Sierra,24,Postoperative Wound Dehiscence,0,3692,0
2015,Sierra,24,Postoperative Wound Dehiscence,0,4137,0
2005,Siskiyou,24,Postoperative Wound Dehiscence,0,35143,0
2006,Siskiyou,24,Postoperative Wound Dehiscence,2,35080,5.7
2007,Siskiyou,24,Postoperative Wound Dehiscence,0,35195,0
2008,Siskiyou,24,Postoperative Wound Dehiscence,0,35541,0
2009,Siskiyou,24,Postoperative Wound Dehiscence,0,35511,0
2010,Siskiyou,24,Postoperative Wound Dehiscence,0,35719,0
2011,Siskiyou,24,Postoperative Wound Dehiscence,1,35459,2.82
2012,Siskiyou,24,Postoperative Wound Dehiscence,1,36324,2.75
2013,Siskiyou,24,Postoperative Wound Dehiscence,1,36015,2.78
2014,Siskiyou,24,Postoperative Wound Dehiscence,1,36411,2.75
2015,Siskiyou,24,Postoperative Wound Dehiscence,0,27121,0
2005,Solano,24,Postoperative Wound Dehiscence,2,301678,0.66
2006,Solano,24,Postoperative Wound Dehiscence,4,303214,1.32
2007,Solano,24,Postoperative Wound Dehiscence,9,304287,2.96
2008,Solano,24,Postoperative Wound Dehiscence,6,306167,1.96
2009,Solano,24,Postoperative Wound Dehiscence,6,308635,1.94
2010,Solano,24,Postoperative Wound Dehiscence,7,313165,2.24
2011,Solano,24,Postoperative Wound Dehiscence,4,316734,1.26
2012,Solano,24,Postoperative Wound Dehiscence,9,312400,2.88
2013,Solano,24,Postoperative Wound Dehiscence,3,317212,0.95
2014,Solano,24,Postoperative Wound Dehiscence,5,320144,1.56
2015,Solano,24,Postoperative Wound Dehiscence,2,242676,0.82
2005,Sonoma,24,Postoperative Wound Dehiscence,7,358116,1.95
2006,Sonoma,24,Postoperative Wound Dehiscence,3,358614,0.84
2007,Sonoma,24,Postoperative Wound Dehiscence,2,361223,0.55
2008,Sonoma,24,Postoperative Wound Dehiscence,0,366471,0
2009,Sonoma,24,Postoperative Wound Dehiscence,4,372373,1.07
2010,Sonoma,24,Postoperative Wound Dehiscence,3,377723,0.79
2011,Sonoma,24,Postoperative Wound Dehiscence,6,381767,1.57
2012,Sonoma,24,Postoperative Wound Dehiscence,2,375444,0.53
2013,Sonoma,24,Postoperative Wound Dehiscence,2,380676,0.53
2014,Sonoma,24,Postoperative Wound Dehiscence,4,383621,1.04
2015,Sonoma,24,Postoperative Wound Dehiscence,4,289219,1.38
2005,Stanislaus,24,Postoperative Wound Dehiscence,9,351584,2.56
2006,Stanislaus,24,Postoperative Wound Dehiscence,11,355891,3.09
2007,Stanislaus,24,Postoperative Wound Dehiscence,14,358840,3.9
2008,Stanislaus,24,Postoperative Wound Dehiscence,10,360777,2.77
2009,Stanislaus,24,Postoperative Wound Dehiscence,3,363949,0.82
2010,Stanislaus,24,Postoperative Wound Dehiscence,6,368478,1.63
2011,Stanislaus,24,Postoperative Wound Dehiscence,6,372845,1.61
2012,Stanislaus,24,Postoperative Wound Dehiscence,5,362639,1.38
2013,Stanislaus,24,Postoperative Wound Dehiscence,5,367108,1.36
2014,Stanislaus,24,Postoperative Wound Dehiscence,2,381811,0.52
2015,Stanislaus,24,Postoperative Wound Dehiscence,2,278069,0.72
2005,Sutter,24,Postoperative Wound Dehiscence,0,64008,0
2006,Sutter,24,Postoperative Wound Dehiscence,0,65772,0
2007,Sutter,24,Postoperative Wound Dehiscence,3,67100,4.47
2008,Sutter,24,Postoperative Wound Dehiscence,1,67885,1.47
2009,Sutter,24,Postoperative Wound Dehiscence,0,68389,0
2010,Sutter,24,Postoperative Wound Dehiscence,3,68807,4.36
2011,Sutter,24,Postoperative Wound Dehiscence,2,69305,2.89
2012,Sutter,24,Postoperative Wound Dehiscence,2,68806,2.91
2013,Sutter,24,Postoperative Wound Dehiscence,1,69609,1.44
2014,Sutter,24,Postoperative Wound Dehiscence,2,72717,2.75
2015,Sutter,24,Postoperative Wound Dehiscence,0,52739,0
2005,Tehama,24,Postoperative Wound Dehiscence,0,44895,0
2006,Tehama,24,Postoperative Wound Dehiscence,1,45563,2.19
2007,Tehama,24,Postoperative Wound Dehiscence,1,46078,2.17
2008,Tehama,24,Postoperative Wound Dehiscence,1,46523,2.15
2009,Tehama,24,Postoperative Wound Dehiscence,3,46816,6.41
2010,Tehama,24,Postoperative Wound Dehiscence,3,47599,6.3
2011,Tehama,24,Postoperative Wound Dehiscence,0,47875,0
2012,Tehama,24,Postoperative Wound Dehiscence,1,48301,2.07
2013,Tehama,24,Postoperative Wound Dehiscence,1,48413,2.07
2014,Tehama,24,Postoperative Wound Dehiscence,1,49807,2.01
2015,Tehama,24,Postoperative Wound Dehiscence,2,36662,5.46
2005,Trinity,24,Postoperative Wound Dehiscence,1,10730,9.32
2006,Trinity,24,Postoperative Wound Dehiscence,0,10964,0
2007,Trinity,24,Postoperative Wound Dehiscence,1,11018,9.08
2008,Trinity,24,Postoperative Wound Dehiscence,0,11094,0
2009,Trinity,24,Postoperative Wound Dehiscence,1,11212,8.92
2010,Trinity,24,Postoperative Wound Dehiscence,1,11321,8.83
2011,Trinity,24,Postoperative Wound Dehiscence,0,11284,0
2012,Trinity,24,Postoperative Wound Dehiscence,0,13009,0
2013,Trinity,24,Postoperative Wound Dehiscence,0,12954,0
2014,Trinity,24,Postoperative Wound Dehiscence,0,12540,0
2015,Trinity,24,Postoperative Wound Dehiscence,1,10219,9.79
2005,Tulare,24,Postoperative Wound Dehiscence,5,274190,1.82
2006,Tulare,24,Postoperative Wound Dehiscence,5,279155,1.79
2007,Tulare,24,Postoperative Wound Dehiscence,6,284348,2.11
2008,Tulare,24,Postoperative Wound Dehiscence,8,289358,2.76
2009,Tulare,24,Postoperative Wound Dehiscence,9,294800,3.05
2010,Tulare,24,Postoperative Wound Dehiscence,2,299782,0.67
2011,Tulare,24,Postoperative Wound Dehiscence,5,304563,1.64
2012,Tulare,24,Postoperative Wound Dehiscence,7,294333,2.38
2013,Tulare,24,Postoperative Wound Dehiscence,2,297733,0.67
2014,Tulare,24,Postoperative Wound Dehiscence,4,312899,1.28
2015,Tulare,24,Postoperative Wound Dehiscence,2,224331,0.89
2005,Tuolumne,24,Postoperative Wound Dehiscence,2,46037,4.34
2006,Tuolumne,24,Postoperative Wound Dehiscence,2,46178,4.33
2007,Tuolumne,24,Postoperative Wound Dehiscence,0,46095,0
2008,Tuolumne,24,Postoperative Wound Dehiscence,2,46161,4.33
2009,Tuolumne,24,Postoperative Wound Dehiscence,1,45938,2.18
2010,Tuolumne,24,Postoperative Wound Dehiscence,0,45625,0
2011,Tuolumne,24,Postoperative Wound Dehiscence,1,45626,2.19
2012,Tuolumne,24,Postoperative Wound Dehiscence,1,45848,2.18
2013,Tuolumne,24,Postoperative Wound Dehiscence,0,45813,0
2014,Tuolumne,24,Postoperative Wound Dehiscence,3,46483,6.45
2015,Tuolumne,24,Postoperative Wound Dehiscence,0,34447,0
2005,Ventura,24,Postoperative Wound Dehiscence,13,579683,2.24
2006,Ventura,24,Postoperative Wound Dehiscence,6,584984,1.03
2007,Ventura,24,Postoperative Wound Dehiscence,13,588179,2.21
2008,Ventura,24,Postoperative Wound Dehiscence,10,594902,1.68
2009,Ventura,24,Postoperative Wound Dehiscence,11,603759,1.82
2010,Ventura,24,Postoperative Wound Dehiscence,9,613523,1.47
2011,Ventura,24,Postoperative Wound Dehiscence,4,621646,0.64
2012,Ventura,24,Postoperative Wound Dehiscence,6,604609,0.99
2013,Ventura,24,Postoperative Wound Dehiscence,7,611966,1.14
2014,Ventura,24,Postoperative Wound Dehiscence,8,627517,1.27
2015,Ventura,24,Postoperative Wound Dehiscence,4,462309,0.87
2005,Yolo,24,Postoperative Wound Dehiscence,3,138697,2.16
2006,Yolo,24,Postoperative Wound Dehiscence,8,141734,5.64
2007,Yolo,24,Postoperative Wound Dehiscence,2,145666,1.37
2008,Yolo,24,Postoperative Wound Dehiscence,0,148222,0
2009,Yolo,24,Postoperative Wound Dehiscence,2,150584,1.33
2010,Yolo,24,Postoperative Wound Dehiscence,2,152061,1.32
2011,Yolo,24,Postoperative Wound Dehiscence,2,153893,1.3
2012,Yolo,24,Postoperative Wound Dehiscence,2,150107,1.33
2013,Yolo,24,Postoperative Wound Dehiscence,2,151676,1.32
2014,Yolo,24,Postoperative Wound Dehiscence,1,158797,0.63
2015,Yolo,24,Postoperative Wound Dehiscence,0,115361,0
2005,Yuba,24,Postoperative Wound Dehiscence,2,46675,4.28
2006,Yuba,24,Postoperative Wound Dehiscence,1,48823,2.05
2007,Yuba,24,Postoperative Wound Dehiscence,1,49805,2.01
2008,Yuba,24,Postoperative Wound Dehiscence,1,50676,1.97
2009,Yuba,24,Postoperative Wound Dehiscence,0,50775,0
2010,Yuba,24,Postoperative Wound Dehiscence,3,51396,5.84
2011,Yuba,24,Postoperative Wound Dehiscence,1,51791,1.93
2012,Yuba,24,Postoperative Wound Dehiscence,2,52301,3.82
2013,Yuba,24,Postoperative Wound Dehiscence,1,52770,1.9
2014,Yuba,24,Postoperative Wound Dehiscence,0,54942,0
2015,Yuba,24,Postoperative Wound Dehiscence,0,40517,0
2005,STATEWIDE,25,Accidental Puncture or Laceration,"8,717",26447738,32.96
2006,STATEWIDE,25,Accidental Puncture or Laceration,"8,875",26679904,33.26
2007,STATEWIDE,25,Accidental Puncture or Laceration,"8,898",26935981,33.03
2008,STATEWIDE,25,Accidental Puncture or Laceration,"8,493",27272108,31.14
2009,STATEWIDE,25,Accidental Puncture or Laceration,"7,724",27630962,27.95
2010,STATEWIDE,25,Accidental Puncture or Laceration,"7,764",28000783,27.73
2011,STATEWIDE,25,Accidental Puncture or Laceration,"7,362",28396854,25.93
2012,STATEWIDE,25,Accidental Puncture or Laceration,"6,726",27818703,24.18
2013,STATEWIDE,25,Accidental Puncture or Laceration,"5,869",28195720,20.82
2014,STATEWIDE,25,Accidental Puncture or Laceration,"4,807",28842368,16.67
2015,STATEWIDE,25,Accidental Puncture or Laceration,"3,147",21475301,14.65
2005,Alameda,25,Accidental Puncture or Laceration,361,1102068,32.76
2006,Alameda,25,Accidental Puncture or Laceration,350,1106823,31.62
2007,Alameda,25,Accidental Puncture or Laceration,372,1117973,33.27
2008,Alameda,25,Accidental Puncture or Laceration,342,1136417,30.09
2009,Alameda,25,Accidental Puncture or Laceration,320,1155287,27.7
2010,Alameda,25,Accidental Puncture or Laceration,332,1169910,28.38
2011,Alameda,25,Accidental Puncture or Laceration,364,1186810,30.67
2012,Alameda,25,Accidental Puncture or Laceration,307,1173980,26.15
2013,Alameda,25,Accidental Puncture or Laceration,275,1197759,22.96
2014,Alameda,25,Accidental Puncture or Laceration,261,1192027,21.9
2015,Alameda,25,Accidental Puncture or Laceration,125,923607,13.53
2005,Alpine,25,Accidental Puncture or Laceration,1,979,102.15
2006,Alpine,25,Accidental Puncture or Laceration,0,1001,0
2007,Alpine,25,Accidental Puncture or Laceration,2,1009,198.22
2008,Alpine,25,Accidental Puncture or Laceration,0,957,0
2009,Alpine,25,Accidental Puncture or Laceration,0,947,0
2010,Alpine,25,Accidental Puncture or Laceration,0,895,0
2011,Alpine,25,Accidental Puncture or Laceration,0,888,0
2012,Alpine,25,Accidental Puncture or Laceration,0,2975,0
2013,Alpine,25,Accidental Puncture or Laceration,0,2967,0
2014,Alpine,25,Accidental Puncture or Laceration,0,2018,0
2015,Alpine,25,Accidental Puncture or Laceration,0,3000,0
2005,Amador,25,Accidental Puncture or Laceration,13,31101,41.8
2006,Amador,25,Accidental Puncture or Laceration,23,31460,73.11
2007,Amador,25,Accidental Puncture or Laceration,18,31883,56.46
2008,Amador,25,Accidental Puncture or Laceration,16,31619,50.6
2009,Amador,25,Accidental Puncture or Laceration,15,31769,47.22
2010,Amador,25,Accidental Puncture or Laceration,10,31720,31.53
2011,Amador,25,Accidental Puncture or Laceration,12,31760,37.78
2012,Amador,25,Accidental Puncture or Laceration,11,32614,33.73
2013,Amador,25,Accidental Puncture or Laceration,10,32252,31.01
2014,Amador,25,Accidental Puncture or Laceration,20,33224,60.2
2015,Amador,25,Accidental Puncture or Laceration,12,24635,48.71
2005,Butte,25,Accidental Puncture or Laceration,63,165310,38.11
2006,Butte,25,Accidental Puncture or Laceration,86,167351,51.39
2007,Butte,25,Accidental Puncture or Laceration,61,168208,36.26
2008,Butte,25,Accidental Puncture or Laceration,78,169793,45.94
2009,Butte,25,Accidental Puncture or Laceration,56,170726,32.8
2010,Butte,25,Accidental Puncture or Laceration,69,171576,40.22
2011,Butte,25,Accidental Puncture or Laceration,58,172643,33.6
2012,Butte,25,Accidental Puncture or Laceration,76,169573,44.82
2013,Butte,25,Accidental Puncture or Laceration,71,170817,41.56
2014,Butte,25,Accidental Puncture or Laceration,49,175975,27.84
2015,Butte,25,Accidental Puncture or Laceration,23,128928,17.84
2005,Calaveras,25,Accidental Puncture or Laceration,22,35913,61.26
2006,Calaveras,25,Accidental Puncture or Laceration,33,36599,90.17
2007,Calaveras,25,Accidental Puncture or Laceration,28,36944,75.79
2008,Calaveras,25,Accidental Puncture or Laceration,23,37092,62.01
2009,Calaveras,25,Accidental Puncture or Laceration,17,36875,46.1
2010,Calaveras,25,Accidental Puncture or Laceration,12,36801,32.61
2011,Calaveras,25,Accidental Puncture or Laceration,15,36652,40.93
2012,Calaveras,25,Accidental Puncture or Laceration,24,37597,63.83
2013,Calaveras,25,Accidental Puncture or Laceration,16,37646,42.5
2014,Calaveras,25,Accidental Puncture or Laceration,7,38886,18
2015,Calaveras,25,Accidental Puncture or Laceration,6,28698,20.91
2005,Colusa,25,Accidental Puncture or Laceration,7,14456,48.42
2006,Colusa,25,Accidental Puncture or Laceration,5,14677,34.07
2007,Colusa,25,Accidental Puncture or Laceration,6,14837,40.44
2008,Colusa,25,Accidental Puncture or Laceration,2,14891,13.43
2009,Colusa,25,Accidental Puncture or Laceration,8,14960,53.48
2010,Colusa,25,Accidental Puncture or Laceration,9,15117,59.54
2011,Colusa,25,Accidental Puncture or Laceration,3,15206,19.73
2012,Colusa,25,Accidental Puncture or Laceration,2,16676,11.99
2013,Colusa,25,Accidental Puncture or Laceration,4,16775,23.85
2014,Colusa,25,Accidental Puncture or Laceration,6,16640,36.06
2015,Colusa,25,Accidental Puncture or Laceration,1,13258,7.54
2005,Contra Costa,25,Accidental Puncture or Laceration,332,744835,44.57
2006,Contra Costa,25,Accidental Puncture or Laceration,342,747747,45.74
2007,Contra Costa,25,Accidental Puncture or Laceration,293,755752,38.77
2008,Contra Costa,25,Accidental Puncture or Laceration,257,767612,33.48
2009,Contra Costa,25,Accidental Puncture or Laceration,263,780970,33.68
2010,Contra Costa,25,Accidental Puncture or Laceration,287,793960,36.15
2011,Contra Costa,25,Accidental Puncture or Laceration,256,808054,31.68
2012,Contra Costa,25,Accidental Puncture or Laceration,264,793369,33.28
2013,Contra Costa,25,Accidental Puncture or Laceration,264,808882,32.64
2014,Contra Costa,25,Accidental Puncture or Laceration,180,818959,21.98
2015,Contra Costa,25,Accidental Puncture or Laceration,108,620275,17.41
2005,Del Norte,25,Accidental Puncture or Laceration,13,22067,58.91
2006,Del Norte,25,Accidental Puncture or Laceration,9,22055,40.81
2007,Del Norte,25,Accidental Puncture or Laceration,10,22315,44.81
2008,Del Norte,25,Accidental Puncture or Laceration,10,22398,44.65
2009,Del Norte,25,Accidental Puncture or Laceration,9,22525,39.96
2010,Del Norte,25,Accidental Puncture or Laceration,8,22507,35.54
2011,Del Norte,25,Accidental Puncture or Laceration,4,22606,17.69
2012,Del Norte,25,Accidental Puncture or Laceration,8,23687,33.77
2013,Del Norte,25,Accidental Puncture or Laceration,2,23420,8.54
2014,Del Norte,25,Accidental Puncture or Laceration,4,23656,16.91
2015,Del Norte,25,Accidental Puncture or Laceration,2,17650,11.33
2005,El Dorado,25,Accidental Puncture or Laceration,68,132739,51.23
